�ɺt�W��,����,����,�q�v�W��,IMDB�Τ�벼�ƶq,�w��,�W�u���,IMDB����,�q�vFB������,�y��,��a
Doug Liman,585,100189501,Edge of Tomorrow?,431620,178000000,2014,7.9,77000,English,USA
Kevin Reynolds,91,88246220,Waterworld?,144337,175000000,1995,6.1,0,English,USA
Stephen Sommers,250,150167630,G.I. Joe: The Rise of Cobra?,174578,175000000,2009,5.8,0,English,USA
Pete Docter,536,356454367,Inside Out?,345198,175000000,2015,8.3,118000,English,USA
Jon Favreau,370,362645141,The Jungle Book?,106072,175000000,2016,7.8,65000,English,UK
Jon Favreau,453,312057433,Iron Man 2?,522371,200000000,2010,7,18000,English,USA
Rupert Sanders,416,155111815,Snow White and the Huntsman?,228554,170000000,2012,6.1,53000,English,USA
Robert Stromberg,401,241407328,Maleficent?,252257,180000000,2014,7,89000,English,USA
Matt Reeves,521,208543795,Dawn of the Planet of the Apes?,317542,170000000,2014,7.6,45000,English,USA
Roland Joffé,10,,The Lovers?,2138,,2015,4.5,677,English,Belgium
Carl Rinsch,218,38297305,47 Ronin?,116994,175000000,2013,6.3,35000,English,USA
Anthony Russo,576,259746958,Captain America: The Winter Soldier?,496749,170000000,2014,7.8,55000,English,USA
Mike Mitchell,226,238371987,Shrek Forever After?,138661,165000000,2010,6.4,0,English,USA
Brad Bird,443,93417865,Tomorrowland?,128306,190000000,2015,6.5,37000,English,USA
Don Hall,384,222487711,Big Hero 6?,279093,165000000,2014,7.9,41000,English,USA
Rich Moore,377,189412677,Wreck-It Ralph?,272534,165000000,2012,7.8,40000,English,USA
Robert Zemeckis,188,665426,The Polar Express?,120798,165000000,2004,6.6,10000,English,USA
Roland Emmerich,286,102315545,Independence Day: Resurgence?,58137,165000000,2016,5.5,67000,English,USA
Dean DeBlois,288,217387997,How to Train Your Dragon?,485430,165000000,2010,8.2,33000,English,USA
Jonathan Mostow,280,150350192,Terminator 3: Rise of the Machines?,305340,200000000,2003,6.4,0,English,USA
James Gunn,653,333130696,Guardians of the Galaxy?,682155,170000000,2014,8.1,96000,English,USA
Christopher Nolan,712,187991439,Interstellar?,928227,165000000,2014,8.6,349000,English,USA
Christopher Nolan,642,292568851,Inception?,1468200,160000000,2010,8.8,175000,English,USA
Hideaki Anno,1,,Godzilla Resurgence?,374,,2016,8.2,0,Japanese,Japan
Peter Jackson,645,303001229,The Hobbit: An Unexpected Journey?,637246,180000000,2012,7.9,166000,English,USA
Rob Cohen,187,144512310,The Fast and the Furious?,272223,38000000,2001,6.7,14000,English,USA
David Fincher,362,127490802,The Curious Case of Benjamin Button?,459346,150000000,2008,7.8,23000,English,USA
Matthew Vaughn,500,146405371,X-Men: First Class?,518537,160000000,2011,7.8,54000,English,USA
Francis Lawrence,389,281666058,The Hunger Games: Mockingjay - Part 2?,166137,160000000,2015,6.6,38000,English,USA
Jon Turteltaub,235,63143812,The Sorcerer's Apprentice?,124185,150000000,2010,6.1,11000,English,USA
Wolfgang Petersen,231,60655503,Poseidon?,82380,160000000,2006,5.6,0,English,USA
James Bobin,218,76846624,Alice Through the Looking Glass?,21352,170000000,2016,6.4,30000,English,USA
Chris Miller,227,320706665,Shrek the Third?,211971,160000000,2007,6.1,0,English,USA
Duncan Jones,275,46978995,Warcraft?,111609,160000000,2016,7.3,89000,English,USA
Alan Taylor,474,89732035,Terminator Genisys?,188457,155000000,2015,6.6,82000,English,USA
Michael Apted,228,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader?,106446,155000000,2010,6.3,11000,English,USA
Michael Bay,191,198539855,Pearl Harbor?,254111,140000000,2001,6.1,0,English,USA
Michael Bay,396,318759914,Transformers?,513158,150000000,2007,7.1,8000,English,USA
Oliver Stone,248,34293771,Alexander?,138863,155000000,2004,5.5,0,English,Germany
David Yates,329,292000866,Harry Potter and the Order of the Phoenix?,355137,150000000,2007,7.5,0,English,UK
Mike Newell,295,289994397,Harry Potter and the Goblet of Fire?,385670,150000000,2005,7.6,0,English,UK
Peter Berg,318,227946274,Hancock?,343648,150000000,2008,6.4,0,English,USA
Francis Lawrence,323,256386216,I Am Legend?,530870,150000000,2007,7.2,11000,English,USA
Tim Burton,276,206456431,Charlie and the Chocolate Factory?,320284,150000000,2005,6.7,0,English,USA
Brad Bird,318,206435493,Ratatouille?,473887,150000000,2007,8,10000,English,USA
Christopher Nolan,478,205343774,Batman Begins?,980946,150000000,2005,8.3,15000,English,USA
Eric Darnell,167,179982968,Madagascar: Escape 2 Africa?,146019,150000000,2008,6.7,0,English,USA
Shawn Levy,185,177243721,Night at the Museum: Battle of the Smithsonian?,130272,150000000,2009,5.9,2000,English,USA
Gavin Hood,350,179883016,X-Men Origins: Wolverine?,361924,150000000,2009,6.7,0,English,USA
Lana Wachowski,245,139259759,The Matrix Revolutions?,364948,150000000,2003,6.7,0,English,Australia
Chris Buck,406,400736600,Frozen?,421658,150000000,2013,7.6,58000,English,USA
Lana Wachowski,275,281492479,The Matrix Reloaded?,421818,150000000,2003,7.2,0,English,USA
Alan Taylor,486,206360018,Thor: The Dark World?,414070,170000000,2013,7.1,63000,English,USA
George Miller,739,153629485,Mad Max: Fury Road?,552503,150000000,2015,8.1,191000,English,Australia
Ron Howard,298,133375846,Angels & Demons?,207839,150000000,2009,6.7,0,English,USA
Kenneth Branagh,516,181015141,Thor?,536314,150000000,2011,7,63000,English,USA
Byron Howard,225,114053579,Bolt?,146766,150000000,2008,6.9,0,English,USA
Hoyt Yeatman,145,119420252,G-Force?,33042,150000000,2009,5.1,0,English,USA
Jonathan Liebesman,310,83640426,Wrath of the Titans?,152826,150000000,2012,5.8,19000,English,USA
Tim Burton,526,79711678,Dark Shadows?,199039,100000000,2012,6.2,82000,English,USA
Christopher McQuarrie,465,195000874,Mission: Impossible - Rogue Nation?,232187,150000000,2015,7.4,47000,English,China
Joe Johnston,357,61937495,The Wolfman?,89442,150000000,2010,5.8,0,English,USA
David Yates,248,124051759,The Legend of Tarzan?,42372,180000000,2016,6.6,29000,English,USA
Steve Hickner,194,126597121,Bee Movie?,105902,150000000,2007,6.2,0,English,USA
Jennifer Yuh Nelson,284,165230261,Kung Fu Panda 2?,182718,150000000,2011,7.3,20000,English,USA
M. Night Shyamalan,280,131564731,The Last Airbender?,118951,150000000,2010,4.2,18000,English,USA
J.J. Abrams,310,133382309,Mission: Impossible III?,256695,150000000,2006,6.9,0,English,USA
Roland Emmerich,339,73103784,White House Down?,164238,150000000,2013,6.4,33000,English,USA
Simon Wells,132,21379315,Mars Needs Moms?,17590,150000000,2011,5.4,0,English,USA
David Bowers,135,64459316,Flushed Away?,85086,149000000,2006,6.7,0,English,UK
Joe Wright,256,34964818,Pan?,39956,150000000,2015,5.8,24000,English,USA
Rob Minkoff,196,111505642,Mr. Peabody & Sherman?,47900,145000000,2014,6.9,11000,English,USA
Wolfgang Petersen,220,133228348,Troy?,381672,175000000,2004,7.2,0,English,USA
Eric Darnell,211,216366733,Madagascar 3: Europe's Most Wanted?,119213,145000000,2012,6.9,17000,English,USA
Lee Tamahori,264,160201106,Die Another Day?,169914,142000000,2002,6.1,0,English,UK
Paul Feig,464,118099659,Ghostbusters?,69757,144000000,2016,5.5,62000,English,USA
Michael Bay,167,201573391,Armageddon?,322395,140000000,1998,6.6,11000,English,USA
Barry Sonnenfeld,208,190418803,Men in Black II?,270207,140000000,2002,6.1,2000,English,USA
Robert Zemeckis,287,82161969,Beowulf?,142440,150000000,2007,6.3,3000,English,USA
Alessandro Carloni,210,143523463,Kung Fu Panda 3?,64322,145000000,2016,7.2,24000,English,USA
Brad Bird,432,209364921,Mission: Impossible - Ghost Protocol?,365104,145000000,2011,7.4,35000,English,USA
Peter Ramsey,256,103400692,Rise of the Guardians?,123553,145000000,2012,7.3,25000,English,USA
Dean Parisot,135,110332737,Fun with Dick and Jane?,110788,100000000,2005,6.1,2000,English,USA
Edward Zwick,190,111110575,The Last Samurai?,317166,140000000,2003,7.7,0,English,USA
Ridley Scott,314,65007045,Exodus: Gods and Kings?,128682,140000000,2014,6.1,51000,English,UK
J.J. Abrams,518,257704099,Star Trek?,504419,150000000,2009,8,19000,English,USA
Sam Raimi,291,403706375,Spider-Man?,544665,139000000,2002,7.3,5000,English,USA
Dean DeBlois,292,176997107,How to Train Your Dragon 2?,221128,145000000,2014,7.9,46000,English,USA
Alex Proyas,184,31141074,Gods of Egypt?,51892,140000000,2016,5.5,24000,English,USA
Rob Cohen,145,31704416,Stealth?,45455,135000000,2005,5,0,English,USA
Zack Snyder,451,107503316,Watchmen?,392474,130000000,2009,7.7,18000,English,USA
Richard Donner,141,129734803,Lethal Weapon 4?,127497,140000000,1998,6.6,0,English,USA
Ang Lee,267,132122995,Hulk?,212106,137000000,2003,5.7,0,English,USA
Jon M. Chu,351,122512052,G.I. Joe: Retaliation?,146352,130000000,2013,5.8,42000,English,USA
Breck Eisner,163,68642452,Sahara?,77673,130000000,2005,6,0,English,UK
Hironobu Sakaguchi,166,32131830,Final Fantasy: The Spirits Within?,72259,137000000,2001,6.4,0,English,USA
Joe Johnston,510,176636816,Captain America: The First Avenger?,508818,140000000,2011,6.9,46000,English,USA
Michael Apted,197,126930660,The World Is Not Enough?,157519,135000000,1999,6.4,2000,English,UK
Peter Weir,244,93926386,Master and Commander: The Far Side of the World?,168207,150000000,2003,7.4,0,English,USA
Bill Condon,322,292298923,The Twilight Saga: Breaking Dawn - Part 2?,185394,120000000,2012,5.5,65000,English,USA
George Miller,156,63992328,Happy Feet 2?,32399,135000000,2011,5.9,0,English,Australia
Louis Leterrier,354,134518390,The Incredible Hulk?,326286,150000000,2008,6.8,0,English,USA
,21,,Miami Vice?            ,16769,1500000,,7.5,0,English,USA
Steven Spielberg,252,52792307,The BFG?,12572,140000000,2016,6.8,27000,English,UK
Alejandro G. Iñárritu,556,183635922,The Revenant?,406020,135000000,2015,8.1,190000,English,USA
David Soren,166,83024900,Turbo?,62424,135000000,2013,6.5,13000,English,USA
Gore Verbinski,362,123207194,Rango?,183208,135000000,2011,7.2,26000,English,USA
Eric Darnell,153,83348920,Penguins of Madagascar?,60230,132000000,2014,6.7,11000,English,USA
Paul Greengrass,329,227137090,The Bourne Ultimatum?,491077,110000000,2007,8.1,0,English,USA
Mark Osborne,266,215395021,Kung Fu Panda?,307029,130000000,2008,7.6,6000,English,USA
Peyton Reed,517,180191634,Ant-Man?,313866,130000000,2015,7.4,61000,English,USA
Francis Lawrence,502,424645577,The Hunger Games: Catching Fire?,498397,130000000,2013,7.6,82000,English,USA
Bill Condon,322,292298923,The Twilight Saga: Breaking Dawn - Part 2?,185394,120000000,2012,5.5,65000,English,USA
Tim Johnson,165,177343675,Home?,70121,135000000,2015,6.7,26000,English,USA
Steven Spielberg,401,234277056,War of the Worlds?,334345,132000000,2005,6.5,0,English,USA
Michael Bay,94,138396624,Bad Boys II?,178126,130000000,2003,6.6,0,English,USA
Chris Miller,246,149234747,Puss in Boots?,114287,130000000,2011,6.7,16000,English,USA
Phillip Noyce,330,118311368,Salt?,245621,110000000,2010,6.4,23000,English,USA
Darren Aronofsky,434,101160529,Noah?,200022,125000000,2014,5.8,71000,English,USA
Steven Spielberg,440,77564037,The Adventures of Tintin?,177383,135000000,2011,7.4,44000,English,USA
Alfonso Cuarón,274,249358727,Harry Potter and the Prisoner of Azkaban?,382255,130000000,2004,7.8,11000,English,UK
Baz Luhrmann,245,49551662,Australia?,102338,130000000,2008,6.6,0,English,Australia
M. Night Shyamalan,349,60522097,After Earth?,158720,130000000,2013,4.9,37000,English,USA
Eric Leighton,145,137748063,Dinosaur?,38438,127500000,2000,6.5,0,English,USA
Matt Birch,1,,Harry Potter and the Deathly Hallows: Part II?,381,,2011,7.5,40,English,UK
Shawn Levy,154,113733726,Night at the Museum: Secret of the Tomb?,67223,127000000,2014,6.2,11000,English,USA
Tom McGrath,233,148337537,Megamind?,172754,130000000,2010,7.3,13000,English,USA
Chris Columbus,258,317557891,Harry Potter and the Sorcerer's Stone?,444683,125000000,2001,7.5,16000,English,UK
Robert Schwentke,208,33592415,R.I.P.D.?,91640,130000000,2013,5.6,20000,English,USA
Hideaki Anno,1,,Godzilla Resurgence?,374,,2016,8.2,0,Japanese,Japan
Gore Verbinski,271,305388685,Pirates of the Caribbean: The Curse of the Black Pearl?,809474,140000000,2003,8.1,10000,English,USA
Matt Birch,4,,Harry Potter and the Deathly Hallows: Part I?,252,,2010,6.4,25,English,UK
Francis Lawrence,403,337103873,The Hunger Games: Mockingjay - Part 1?,305008,125000000,2014,6.7,52000,English,USA
Ron Howard,294,217536138,The Da Vinci Code?,314253,125000000,2006,6.6,0,English,USA
Carlos Saldanha,159,131536019,Rio 2?,58498,103000000,2014,6.4,0,English,USA
Bryan Singer,289,214948780,X-Men 2?,405973,110000000,2003,7.5,0,English,Canada
Justin Lin,342,209805005,Fast Five?,284792,125000000,2011,7.3,54000,English,USA
Guy Ritchie,382,186830669,Sherlock Holmes: A Game of Shadows?,338635,125000000,2011,7.5,39000,English,USA
Louis Leterrier,344,163192114,Clash of the Titans?,229679,125000000,2010,5.8,15000,English,USA
Paul Verhoeven,196,119412921,Total Recall?,240241,65000000,1990,7.5,0,English,USA
John McTiernan,85,32694788,The 13th Warrior?,101411,85000000,1999,6.6,0,English,USA
Tony Gilroy,436,113165635,The Bourne Legacy?,229823,125000000,2012,6.7,31000,English,USA
Joel Schumacher,183,107285004,Batman & Robin?,189855,125000000,1997,3.7,0,English,USA
Ron Howard,175,260031035,How the Grinch Stole Christmas?,141414,123000000,2000,6,0,English,USA
Roland Emmerich,239,186739919,The Day After Tomorrow?,333248,125000000,2004,6.4,19000,English,USA
John Woo,237,215397307,Mission: Impossible II?,242188,125000000,2000,6.1,0,English,USA
Wolfgang Petersen,231,182618434,The Perfect Storm?,133076,140000000,2000,6.4,0,English,USA
Tim Story,262,131920333,Fantastic 4: Rise of the Silver Surfer?,213275,130000000,2007,5.6,0,English,USA
Ang Lee,552,124976634,Life of Pi?,440084,120000000,2012,8,122000,English,USA
Mark Steven Johnson,276,115802596,Ghost Rider?,182661,110000000,2007,5.2,0,English,USA
Paul Greengrass,267,108521835,Jason Bourne?,40123,120000000,2016,7.1,31000,English,UK
McG,102,100685880,Charlie's Angels: Full Throttle?,100821,120000000,2003,4.8,0,English,USA
Ridley Scott,775,126464904,Prometheus?,456260,130000000,2012,7,97000,English,USA
Rob Minkoff,71,64736114,Stuart Little 2?,36471,120000000,2002,5.4,459,English,USA
Neill Blomkamp,476,93050117,Elysium?,338087,115000000,2013,6.6,61000,English,USA
David Twohy,207,57637485,The Chronicles of Riddick?,183909,105000000,2004,6.7,0,English,USA
José Padilha,492,58607007,RoboCop?,182899,100000000,2014,6.2,60000,English,USA
Lana Wachowski,284,43929341,Speed Racer?,57873,120000000,2008,6.1,0,English,USA
James L. Brooks,168,30212620,How Do You Know?,35066,120000000,2010,5.3,0,English,USA
James Mangold,283,76418654,Knight and Day?,148280,117000000,2010,6.3,11000,English,USA
Joseph Kosinski,539,89021735,Oblivion?,387436,120000000,2013,7,71000,English,USA
George Lucas,359,380262555,Star Wars: Episode III - Revenge of the Sith?,520104,113000000,2005,7.6,10000,English,USA
George Lucas,284,310675583,Star Wars: Episode II - Attack of the Clones?,464310,115000000,2002,6.7,0,English,USA
Pete Docter,250,289907418,"Monsters, Inc.?",585659,115000000,2001,8.1,0,English,USA
James Mangold,440,132550960,The Wolverine?,328067,120000000,2013,6.7,68000,English,USA
George Lucas,320,474544677,Star Wars: Episode I - The Phantom Menace?,534658,115000000,1999,6.5,13000,English,USA
Kirk De Micco,257,187165546,The Croods?,150618,135000000,2013,7.3,28000,English,USA
Frédéric Forestier,33,,Asterix at the Olympic Games?,20567,78000000,2008,5.1,291,French,France
John Woo,152,40911830,Windtalkers?,55994,115000000,2002,6,0,English,USA
Cedric Nicolas-Troyan,231,47952020,The Huntsman: Winter's War?,37750,115000000,2016,6.1,16000,English,USA
Jonathan Liebesman,348,190871240,Teenage Mutant Ninja Turtles?,167085,125000000,2014,5.9,62000,English,USA
Alfonso Cuarón,738,274084951,Gravity?,582917,100000000,2013,7.8,147000,English,UK
Roger Donaldson,93,67155742,Dante's Peak?,62271,116000000,1997,5.8,0,English,USA
Dave Green,181,81638674,Teenage Mutant Ninja Turtles: Out of the Shadows?,17533,135000000,2016,6.3,12000,English,USA
Josh Trank,369,56114221,Fantastic Four?,110486,120000000,2015,4.3,41000,English,USA
Shawn Levy,179,250863268,Night at the Museum?,234480,110000000,2006,6.4,3000,English,USA
Brad Peyton,358,155181732,San Andreas?,147497,110000000,2015,6.1,52000,English,USA
Roger Spottiswoode,160,125332007,Tomorrow Never Dies?,149680,110000000,1997,6.5,0,English,UK
Roland Emmerich,192,113330342,The Patriot?,207613,110000000,2000,7.1,4000,English,USA
Steven Soderbergh,198,125531634,Ocean's Twelve?,284852,110000000,2004,6.4,0,English,USA
Doug Liman,233,186336103,Mr. & Mrs. Smith?,348861,120000000,2005,6.5,0,English,USA
Robert Schwentke,263,129995817,Insurgent?,154621,110000000,2015,6.3,27000,English,USA
Martin Scorsese,267,102608827,The Aviator?,264318,110000000,2004,7.5,0,English,USA
Rob Letterman,184,42776259,Gulliver's Travels?,53160,112000000,2010,4.9,0,English,USA
Michel Gondry,447,98780042,The Green Hornet?,136019,120000000,2011,5.8,14000,English,USA
,29,,The A-Team?            ,25402,,,7.6,0,English,USA
Noam Murro,366,106369117,300: Rise of an Empire?,225273,110000000,2014,6.2,71000,English,USA
Raja Gosnell,172,142614158,The Smurfs?,66593,110000000,2011,5.5,31000,English,USA
Will Finn,104,50026353,Home on the Range?,13581,110000000,2004,5.4,304,English,USA
Robert Schwentke,181,66002193,Allegiant?,44296,110000000,2016,5.8,12000,English,USA
Shawn Levy,327,85463309,Real Steel?,254841,110000000,2011,7.1,36000,English,USA
Raja Gosnell,125,71017784,The Smurfs 2?,27257,105000000,2013,5.4,0,English,USA
Jan de Bont,79,48068396,Speed 2: Cruise Control?,60573,160000000,1997,3.7,894,English,USA
Gavin Hood,326,61656849,Ender's Game?,184561,110000000,2013,6.7,123000,English,USA
Len Wiseman,354,134520804,Live Free or Die Hard?,336235,110000000,2007,7.2,0,English,USA
Peter Jackson,297,313837577,The Lord of the Rings: The Fellowship of the Ring?,1238746,93000000,2001,8.8,21000,English,New Zealand
Frank Coraci,188,24004159,Around the World in 80 Days?,68720,110000000,2004,5.8,0,English,USA
Michael Mann,174,58183966,Ali?,79186,107000000,2001,6.8,0,English,USA
Bo Welch,109,100446895,The Cat in the Hat?,36033,109000000,2003,3.8,946,English,USA
Alex Proyas,225,144795350,"I, Robot?",387632,120000000,2004,7.1,0,English,USA
Ridley Scott,239,47396698,Kingdom of Heaven?,217373,130000000,2005,7.2,0,English,USA
Rob Minkoff,101,140015224,Stuart Little?,94172,133000000,1999,5.9,0,English,Germany
Ron Clements,228,104374107,The Princess and the Frog?,89351,105000000,2009,7.1,5000,English,USA
Ridley Scott,568,228430993,The Martian?,472488,108000000,2015,8.1,153000,English,USA
Christopher Barnard,,,"10,000 B.C.?            ",6,,,7.2,0,,
Michael Bay,257,35799026,The Island?,263329,126000000,2005,6.9,0,English,USA
Peter Chelsom,62,6712451,Town & Country?,4102,90000000,2001,4.4,53,English,New Line
Dominic Sena,175,101643008,Gone in Sixty Seconds?,218341,90000000,2000,6.5,0,English,USA
Ridley Scott,265,187670866,Gladiator?,982637,103000000,2000,8.5,21000,English,USA
Steven Spielberg,252,132014112,Minority Report?,399651,102000000,2002,7.7,0,English,USA
Chris Columbus,232,261970615,Harry Potter and the Chamber of Secrets?,387616,100000000,2002,7.4,0,English,UK
Martin Campbell,400,167007184,Casino Royale?,470483,150000000,2006,8,0,English,UK
Tim Burton,230,180011740,Planet of the Apes?,177725,100000000,2001,5.7,0,English,USA
James Cameron,210,204843350,Terminator 2: Judgment Day?,744891,102000000,1991,8.5,13000,English,USA
Michael Mann,357,97030725,Public Enemies?,230931,100000000,2009,7,0,English,USA
Ridley Scott,300,130127620,American Gangster?,324671,100000000,2007,7.8,0,English,USA
James Cameron,94,146282411,True Lies?,190439,115000000,1994,7.2,0,English,USA
Tony Scott,267,65452312,The Taking of Pelham 1 2 3?,149998,100000000,2009,6.4,0,English,USA
Paul Weitz,180,148383780,Little Fockers?,85531,100000000,2010,5.5,0,English,USA
Adam McKay,265,119219978,The Other Guys?,189806,100000000,2010,6.7,16000,English,USA
Chuck Russell,81,101228120,Eraser?,84424,100000000,1996,6.1,0,English,USA
Quentin Tarantino,765,162804648,Django Unchained?,955174,100000000,2012,8.5,199000,English,USA
